tree_id,trunk_diam,status,health,spc_common,neighborhood
689770,16,Alive,Good,London planetree,Canarsie
549287,18,Alive,Good,London planetree,BK72
610618,13,Alive,Good,pin oak,St. Albans
610296,3,Alive,Good,cherry,East Elmhurst
51698,9,Alive,Fair,Japanese zelkova,East Harlem South
399753,6,Alive,Good,Callery pear,QN15
321611,18,Alive,Poor,Norway maple,Queens Village
375717,16,Alive,Good,London planetree,Fort Greene
285825,15,Alive,Good,Chinese elm,BK37
263908,4,Alive,Good,pin oak,Clinton Hill
558612,8,Alive,Good,Sophora,Baisley Park
645668,14,Alive,Good,ash,Woodhaven
96638,7,Alive,Good,honeylocust,Hunters Point-Sunnyside-West Maspeth
361254,7,Alive,Good,Callery pear,Charleston-Richmond Valley-Tottenville
301938,6,Alive,Good,cherry,New Brighton-Silver Lake
645066,14,Alive,Good,Callery pear,Douglas Manor-Douglaston-Little Neck
629752,13,Alive,Good,Callery pear,Richmond Hill
627663,10,Alive,Good,Sophora,South Ozone Park
674398,15,Alive,Good,pin oak,South Ozone Park
458167,1,Alive,Good,Norway spruce,Corona
149092,21,Alive,Good,London planetree,BK32
467538,7,Alive,Fair,silver maple,Far Rockaway-Bayswater
278339,8,Alive,Good,willow oak,Battery Park City-Lower Manhattan
513191,12,Alive,Good,Callery pear,Annadale-Huguenot-Prince's Bay-Eltingville
588363,5,Alive,Fair,hedge maple,Rosedale
523080,14,Alive,Good,American linden,Glendale
127452,12,Alive,Good,Japanese zelkova,Bedford
454322,11,Alive,Good,honeylocust,Lower East Side
482569,8,Alive,Good,honeylocust,BK72
45573,2,Alive,Good,common hackberry,Van Cortlandt Village
704612,16,Alive,Good,London planetree,Ozone Park
95462,10,Alive,Good,Callery pear,Glen Oaks-Floral Park-New Hyde Park
403116,3,Alive,Good,European hornbeam,Westchester-Unionport
384598,6,Alive,Good,cherry,Grymes Hill-Clifton-Fox Hills
293313,2,Alive,Good,two-winged silverbell,Port Richmond
669332,5,Alive,Good,Callery pear,Bayside-Bayside Hills
521384,10,Alive,Poor,Callery pear,Annadale-Huguenot-Prince's Bay-Eltingville
168201,5,Alive,Poor,Callery pear,Lower East Side
4755,5,Alive,Good,honeylocust,Washington Heights North
209444,4,Dead,,,University Heights-Morris Heights
369429,10,Alive,Fair,Norway maple,Bayside-Bayside Hills
144978,4,Alive,Good,Japanese zelkova,Bushwick South
235513,0,Stump,,,Rossville-Woodrow
347967,32,Alive,Good,horse chestnut,Westerleigh
191000,7,Alive,Good,honeylocust,Yorkville
600745,4,Alive,Good,silver linden,Bayside-Bayside Hills
68777,25,Alive,Good,Norway maple,Park Slope-Gowanus
611813,16,Alive,Good,honeylocust,South Ozone Park
464271,7,Alive,Fair,honeylocust,BX05
96393,18,Alive,Good,red maple,Oakland Gardens
102133,8,Alive,Good,Callery pear,Starrett City
631240,11,Alive,Good,Callery pear,Jamaica Estates-Holliswood
114648,18,Alive,Good,London planetree,Bay Ridge
320389,27,Alive,Good,London planetree,Glen Oaks-Floral Park-New Hyde Park
702159,10,Alive,Good,honeylocust,Ozone Park
583479,27,Alive,Good,catalpa,Prospect Lefferts Gardens-Wingate
596523,13,Alive,Good,green ash,Queens Village
64125,6,Alive,Fair,pin oak,Marble Hill-Inwood
330080,5,Alive,Good,Sophora,Highbridge
65295,4,Alive,Fair,pin oak,Fresh Meadows-Utopia
48638,3,Alive,Good,littleleaf linden,Sunset Park East
502876,2,Alive,Good,Chinese tree lilac,Annadale-Huguenot-Prince's Bay-Eltingville
238732,16,Alive,Good,honeylocust,BK42
326292,14,Alive,Poor,Norway maple,Allerton-Pelham Gardens
447255,0,Stump,,,Old Town-Dongan Hills-South Beach
479322,5,Alive,Good,Japanese zelkova,University Heights-Morris Heights
58217,16,Alive,Fair,honeylocust,Washington Heights South
694600,3,Alive,Good,two-winged silverbell,Midwood
366195,10,Alive,Good,pin oak,Westerleigh
469360,22,Alive,Fair,London planetree,Homecrest
517395,13,Alive,Good,Callery pear,Charleston-Richmond Valley-Tottenville
13822,0,Stump,,,Whitestone
449905,7,Alive,Good,littleleaf linden,Washington Heights South
378697,12,Alive,Good,silver maple,Arden Heights
266033,4,Alive,Good,honeylocust,Cambria Heights
561174,6,Alive,Good,Chinese elm,St. Albans
533115,11,Alive,Good,pin oak,Upper East Side-Carnegie Hill
631986,16,Alive,Good,silver linden,Douglas Manor-Douglaston-Little Neck
19759,4,Alive,Good,cherry,Stapleton-Rosebank
648087,8,Alive,Good,hedge maple,Bayside-Bayside Hills
234965,7,Alive,Good,Japanese zelkova,Flatbush
517574,4,Alive,Good,American linden,Charleston-Richmond Valley-Tottenville
608291,16,Alive,Good,American elm,14
428360,6,Alive,Good,Japanese zelkova,Stapleton-Rosebank
386919,13,Alive,Fair,pin oak,Claremont-Bathgate
352695,2,Alive,Good,pin oak,Queensboro Hill
