tree_id,trunk_diam,status,health,spc_common,neighborhood,tree_diam_category
441283,24,Alive,Fair,Japanese zelkova,East Tremont,Very large (>24in)
99790,13,Alive,Good,Callery pear,Carroll Gardens-Columbia Street-Red Hook,Large (18-24in)
5866,20,Alive,Good,littleleaf linden,Pelham Parkway,Very large (>24in)
272162,8,Alive,Fair,American linden,North Corona,Medium-Large (10-18in)
437830,22,Alive,Good,London planetree,Old Town-Dongan Hills-South Beach,Very large (>24in)
284952,0,Stump,,,Midwood,Small (0-3in)
347014,10,Alive,Good,white ash,West Farms-Bronx River,Medium-Large (10-18in)
607405,15,Alive,Good,cherry,Queens Village,Large (18-24in)
687522,0,Stump,,,Canarsie,Small (0-3in)
280114,12,Alive,Poor,London planetree,Prospect Heights,Large (18-24in)
447116,2,Alive,Fair,pin oak,East New York,Medium (3-10in)
94686,33,Alive,Good,London planetree,Glendale,
311665,38,Alive,Good,London planetree,Jackson Heights,
682023,4,Alive,Good,crab apple,Whitestone,Medium-Large (10-18in)
405706,27,Alive,Good,London planetree,Cambria Heights,
680824,7,Alive,Good,swamp white oak,Stuyvesant Heights,Medium-Large (10-18in)
281859,11,Alive,Fair,honeylocust,Central Harlem South,Large (18-24in)
419813,37,Alive,Good,London planetree,Stapleton-Rosebank,
489563,8,Alive,Good,sweetgum,Great Kills,Medium-Large (10-18in)
29255,14,Alive,Good,London planetree,Great Kills,Large (18-24in)
652355,7,Alive,Good,Japanese zelkova,Clinton Hill,Medium-Large (10-18in)
388721,11,Alive,Good,silver maple,Queensboro Hill,Large (18-24in)
279887,13,Alive,Fair,honeylocust,Park Slope-Gowanus,Large (18-24in)
420618,5,Alive,Good,honeylocust,Cypress Hills-City Line,Medium-Large (10-18in)
144043,10,Alive,Fair,honeylocust,Crown Heights North,Medium-Large (10-18in)
231089,13,Alive,Good,littleleaf linden,Clinton Hill,Large (18-24in)
154904,4,Dead,,,Lower East Side,Medium-Large (10-18in)
472550,25,Alive,Fair,honeylocust,QN62,
21373,5,Alive,Good,Callery pear,Jackson Heights,Medium-Large (10-18in)
406838,17,Alive,Poor,Norway maple,Bensonhurst West,Large (18-24in)
515813,18,Alive,Good,Norway maple,Annadale-Huguenot-Prince's Bay-Eltingville,Large (18-24in)
707317,9,Alive,Fair,Norway maple,Jamaica,Medium-Large (10-18in)
405332,21,Alive,Good,London planetree,Arden Heights,Very large (>24in)
566994,11,Alive,Good,London planetree,Cambria Heights,Large (18-24in)
8262,9,Alive,Good,littleleaf linden,Soundview-Castle Hill-Clason Point-Harding Park,Medium-Large (10-18in)
9098,22,Alive,Good,London planetree,Parkchester,Very large (>24in)
117742,10,Alive,Good,green ash,Park Slope-Gowanus,Medium-Large (10-18in)
452749,7,Alive,Good,honeylocust,BK82,Medium-Large (10-18in)
94748,11,Alive,Good,honeylocust,QN17,Large (18-24in)
658572,2,Alive,Good,eastern redbud,Westerleigh,Medium (3-10in)
244763,2,Alive,Fair,Kentucky coffeetree,East Tremont,Medium (3-10in)
214386,26,Alive,Good,silver maple,QN46,
333504,20,Alive,Poor,Norway maple,Homecrest,Very large (>24in)
574483,6,Alive,Good,Japanese zelkova,St. Albans,Medium-Large (10-18in)
429076,4,Alive,Good,Japanese zelkova,Hunts Point,Medium-Large (10-18in)
35286,34,Alive,Good,London planetree,QN25,
2545,3,Alive,Good,arborvitae,Sunset Park East,Medium (3-10in)
63665,24,Alive,Good,sweetgum,Flatbush,Very large (>24in)
274251,5,Alive,Good,Callery pear,Lindenwood-Howard Beach,Medium-Large (10-18in)
600028,3,Alive,Good,sawtooth oak,Whitestone,Medium (3-10in)
307961,2,Alive,Good,crab apple,Old Astoria,Medium (3-10in)
75829,24,Alive,Good,London planetree,Stuyvesant Heights,Very large (>24in)
533855,11,Alive,Good,Norway maple,Morningside Heights,Large (18-24in)
497294,10,Alive,Good,Callery pear,New Springville-Bloomfield-Travis,Medium-Large (10-18in)
334231,8,Alive,Good,purple-leaf plum,Georgetown-Marine Park-Bergen Beach-Mill Basin,Medium-Large (10-18in)
363775,4,Alive,Good,Japanese zelkova,West New Brighton-New Brighton-St. George,Medium-Large (10-18in)
664874,6,Alive,Good,Japanese tree lilac,Bayside-Bayside Hills,Medium-Large (10-18in)
7231,5,Alive,Fair,white oak,West New Brighton-New Brighton-St. George,Medium-Large (10-18in)
678719,26,Alive,Good,mulberry,Georgetown-Marine Park-Bergen Beach-Mill Basin,
205478,8,Alive,Good,Callery pear,Breezy Point-Belle Harbor-Rockaway Park-Broad Chan,Medium-Large (10-18in)
149852,7,Dead,,,Greenpoint,Medium-Large (10-18in)
216011,11,Alive,Good,Callery pear,Arden Heights,Large (18-24in)
38067,0,Stump,,,Flatbush,Small (0-3in)
524070,17,Alive,Good,London planetree,New Springville-Bloomfield-Travis,Large (18-24in)
30620,11,Alive,Good,honeylocust,West Village,Large (18-24in)
357741,0,Stump,,,Charleston-Richmond Valley-Tottenville,Small (0-3in)
382837,11,Alive,Good,Chinese elm,Crown Heights South,Large (18-24in)
173527,12,Alive,Good,London planetree,West Village,Large (18-24in)
40675,6,Alive,Good,katsura tree,South Ozone Park,Medium-Large (10-18in)
442724,18,Alive,Good,littleleaf linden,Old Town-Dongan Hills-South Beach,Large (18-24in)
128914,5,Alive,Good,American elm,Stuyvesant Heights,Medium-Large (10-18in)
703703,18,Alive,Good,Norway maple,Ozone Park,Large (18-24in)
172844,12,Alive,Good,Sophora,Borough Park,Large (18-24in)
187948,15,Alive,Good,red maple,SI01,Large (18-24in)
626753,8,Alive,Good,cherry,Borough Park,Medium-Large (10-18in)
226859,7,Alive,Good,littleleaf linden,Bellerose,Medium-Large (10-18in)
63263,18,Alive,Fair,Japanese zelkova,Ocean Parkway South,Large (18-24in)
8215,16,Alive,Good,Japanese zelkova,Soundview-Castle Hill-Clason Point-Harding Park,Large (18-24in)
73562,11,Alive,Good,ginkgo,West Village,Large (18-24in)
400317,13,Alive,Fair,red maple,College Point,Large (18-24in)
396921,11,Alive,Good,London planetree,Melrose South-Mott Haven North,Large (18-24in)
63691,0,Stump,,,Ocean Parkway South,Small (0-3in)
304913,2,Alive,Good,London planetree,Washington Heights North,Medium (3-10in)
